Walk,Grade,Length,Time,GPS START,Link,Hours,Biome,Region
The Old Man of Stoer and the point,3,7km,2.5 - 3.5 hours,"58.23820,-5.40100",https://www.walkhighlands.co.uk/ullapool/old-man-of-stoer.shtml,3.5,Coastal,Ullapool and Assynt walks
Sgùrr an Fhìdhleir - the Fiddler,3,8km,3.5 - 4.5 hours,"57.98440,-5.28050",https://www.walkhighlands.co.uk/ullapool/sgurr-an-fhidhleir.shtml,4.5,Mountain,Ullapool and Assynt walks
Achnahaird Bay and Garvie Bay circular,3,8.5km,2.5 - 4 hours,"58.05660,-5.35620",https://www.walkhighlands.co.uk/ullapool/achnahaird-bay.shtml,4,Coastal,Ullapool and Assynt walks
Eas a' Chual Aluinn - Britain's highest waterfall,3,9.75km,4.5 - 5.5 hours,"58.21650,-4.99800",https://www.walkhighlands.co.uk/ullapool/eas-a-chual-aluinn.shtml,5.5,River,Ullapool and Assynt walks
"Rubha Coigich circuit, Reiff",3,18km,5 - 7 hours,"58.07240,-5.45320",https://www.walkhighlands.co.uk/ullapool/rubha-coigich.shtml,7,Coastal,Ullapool and Assynt walks
Across Assynt: Elphin to Lochinver,3,19km,5 - 7 hours,"58.06340,-4.99560",https://www.walkhighlands.co.uk/ullapool/across-assynt.shtml,7,Mountain,Ullapool and Assynt walks
Cùl Beag,4,10.5km,4 - 5 hours,"58.02270,-5.07570",https://www.walkhighlands.co.uk/ullapool/cul-beag.shtml,5,Mountain,Ullapool and Assynt walks
Ben Mór Coigach and Sgùrr an Fhìdhleir,4,10.5km,5 - 7 hours,"57.98440,-5.28050",https://www.walkhighlands.co.uk/ullapool/ben-more-coigach.shtml,7,Mountain,Ullapool and Assynt walks
Canisp,4,12km,5 - 6 hours,"58.09960,-4.97080",https://www.walkhighlands.co.uk/ullapool/canisp.shtml,6,Mountain,Ullapool and Assynt walks
Cùl Mòr,4,13.5km,4 - 5.5 hours,"58.03670,-5.06930",https://www.walkhighlands.co.uk/ullapool/culmor.shtml,5.5,Mountain,Ullapool and Assynt walks
Quinag: three Corbetts,4,14km,7.5 - 8.5 hours,"58.19960,-5.00890",https://www.walkhighlands.co.uk/ullapool/quinag.shtml,8.5,Mountain,Ullapool and Assynt walks
Glas Bheinn from Inchnadamph,4,15.75km,5.5 - 6.5 hours,"58.14850,-4.97340",https://www.walkhighlands.co.uk/ullapool/glas-bheinn.shtml,6.5,Mountain,Ullapool and Assynt walks
Ben More Assynt and Conival,4,17.25km,8.5 - 10 hours,"58.14870,-4.97340",https://www.walkhighlands.co.uk/ullapool/benmoreassynt.shtml,10,Mountain,Ullapool and Assynt walks
Breabag and the Caves of Assynt,4,20km,7 - 9 hours,"58.11560,-4.96660",https://www.walkhighlands.co.uk/ullapool/breabag.shtml,9,Mountain,Ullapool and Assynt walks
Suilven,4,20km,7 - 9 hours,"58.14610,-5.21740",https://www.walkhighlands.co.uk/ullapool/suilven.shtml,9,Mountain,Ullapool and Assynt walks
"Rhue Lighthouse, near Ullapool",1,1.2km,20 minutes,"57.92390,-5.21550",https://www.walkhighlands.co.uk/ullapool/rhue.shtml,0.33,Coastal,Ullapool and Assynt walks
Lael Forest Garden and forest walk,1,1.75km,1 hour,"57.78270,-5.03660",https://www.walkhighlands.co.uk/ullapool/lael.shtml,1,Forest,Ullapool and Assynt walks
"Corrieshalloch Gorge, Braemore Junction",1,3.5km,45 minutes,"57.75240,-5.01255",https://www.walkhighlands.co.uk/ullapool/corrieshalloch.shtml,0.75,River,Ullapool and Assynt walks
Ardessie Falls,2,2.5km,30 minutes,"57.85370,-5.28570",https://www.walkhighlands.co.uk/ullapool/ardessie.shtml,0.5,River,Ullapool and Assynt walks
"River Broom & Junction Pool, Inverbroom",2,4km,1.5 hours,"57.77860,-5.03570",https://www.walkhighlands.co.uk/ullapool/river-broom.shtml,1.5,River,Ullapool and Assynt walks
Ullapool hill and Braes of Ullapool,2,7.5km,1.5 - 2.5 hours,"57.89750,-5.16440",https://www.walkhighlands.co.uk/ullapool/ullapoolhill.shtml,2.5,Mountain,Ullapool and Assynt walks
"Inverbroom waterfall, gorge & river circuit",2,9km,4 - 5 hours,"57.77860,-5.03570",https://www.walkhighlands.co.uk/ullapool/inverbroom-gorges.shtml,5,River,Ullapool and Assynt walks
"Ullapool and Loch Achall, Ullapool",2,12km,2.5 - 3.5 hours,"57.89740,-5.16410",https://www.walkhighlands.co.uk/ullapool/lochachall.shtml,3.5,River,Ullapool and Assynt walks
Scoraig from Badrallach,2,16.5km,4 - 5 hours,"57.87400,-5.28060",https://www.walkhighlands.co.uk/ullapool/scoraig.shtml,5,Coastal,Ullapool and Assynt walks
Isle Martin explorer,3,5.5km,2 - 3 hours,"57.94040,-5.21548",https://www.walkhighlands.co.uk/ullapool/isle-martin.shtml,3,Coastal,Ullapool and Assynt walks
Beinn Liath Mhòr a'Ghiubhais Li,3,8.5km,3.5 - 4 hours,"57.71960,-4.87530",https://www.walkhighlands.co.uk/ullapool/beinn-liath-mhor-ghiubhais.shtml,4,Mountain,Ullapool and Assynt walks
Toll an Lochain,3,10km,4 - 5 hours,"57.82190,-5.18130",https://www.walkhighlands.co.uk/ullapool/tollanlochain.shtml,5,Mountain,Ullapool and Assynt walks
"Beinn Enaiglair, Braemore Junction",3,15.5km,5 - 6 hours,"57.75290,-5.01040",https://www.walkhighlands.co.uk/ullapool/beinn-enaiglair.shtml,6,Mountain,Ullapool and Assynt walks
Shenavall circuit,3,18.5km,4.5 - 6 hours,"57.81490,-5.17600",https://www.walkhighlands.co.uk/ullapool/shenavall.shtml,6,Mountain,Ullapool and Assynt walks
Beinn Ghobhlach,4,11km,5 - 6 hours,"57.87400,-5.28040",https://www.walkhighlands.co.uk/ullapool/beinnghobhlach.shtml,6,Mountain,Ullapool and Assynt walks
"Sail Mhòr, from Ardessie",4,12km,5.5 - 6 hours,"57.85370,-5.28620",https://www.walkhighlands.co.uk/ullapool/sail-mhor.shtml,6,Mountain,Ullapool and Assynt walks
Am Faochagach,4,14km,5 - 6 hours,"57.72480,-4.89430",https://www.walkhighlands.co.uk/ullapool/amfaochagach.shtml,6,Mountain,Ullapool and Assynt walks
Sgùrr Breac & A' Chailleach: Western Fannichs,4,16km,6 - 8 hours,"57.73740,-5.09000",https://www.walkhighlands.co.uk/ullapool/sgurrbreac.shtml,8,Mountain,Ullapool and Assynt walks
"Creag Rainich, via Loch a'Bhraoin",4,17.5km,6 - 7 hours,"57.73740,-5.09000",https://www.walkhighlands.co.uk/ullapool/creag-rainich.shtml,7,Mountain,Ullapool and Assynt walks
"Sgùrr nan Clach Geala, near Braemore",4,18km,7 - 9 hours,"57.73730,-5.09000",https://www.walkhighlands.co.uk/ullapool/sgurrnanclachgeala.shtml,9,Mountain,Ullapool and Assynt walks
"Beinn a' Chaisteil, via Strath Vaich",4,24km,7 - 8 hours,"57.69780,-4.73070",https://www.walkhighlands.co.uk/ullapool/beinn-a-chaisteil.shtml,8,Mountain,Ullapool and Assynt walks
Sgùrr Mòr and the eastern Fannichs,4,24.75km,9 - 11 hours,"57.72480,-4.89430",https://www.walkhighlands.co.uk/ullapool/fannichs.shtml,11,Mountain,Ullapool and Assynt walks
Seana Bhràigh,4,27km,9 - 10 hours,"57.82030,-5.06260",https://www.walkhighlands.co.uk/ullapool/seana-bhraigh.shtml,10,Mountain,Ullapool and Assynt walks
Beinn Dearg - the Four Munros circuit,4,27km,9 - 11 hours,"57.81980,-5.06250",https://www.walkhighlands.co.uk/ullapool/beinndearg.shtml,11,Mountain,Ullapool and Assynt walks
Càrn Ban via Strath Vaich,4,43km,12 - 13 hours,"57.69780,-4.73070",https://www.walkhighlands.co.uk/ullapool/carn-ban-vaich.shtml,13,Mountain,Ullapool and Assynt walks
"An Teallach, Dundonnell",5,20km,9 - 10 hours,"57.84000,-5.21500",https://www.walkhighlands.co.uk/ullapool/anteallach.shtml,10,Mountain,Ullapool and Assynt walks
"Fisherfield 6, from Shenavall",5,29km,12 - 18 hours,"57.77680,-5.25450",https://www.walkhighlands.co.uk/ullapool/fisherfield-6.shtml,18,Mountain,Ullapool and Assynt walks
Sgùrr Bàn and Beinn a' Chlaidheimh via the slabs and Loch a' Bhraoin,5,32km,13 - 15 hours,"57.73740,-5.09000",https://www.walkhighlands.co.uk/ullapool/sgurr-ban-slabs.shtml,15,Mountain,Ullapool and Assynt walks
"Beinn Dearg Mòr and Beinn Dearg Bheag, Gruinard",5,35.25km,13 - 15 hours,"57.86370,-5.43790",https://www.walkhighlands.co.uk/ullapool/beinn-deargs-fisherfield.shtml,15,Mountain,Ullapool and Assynt walks
Nigg Church and the Bishops' walk,1,2km,45 minutes,"57.71890,-4.00810",https://www.walkhighlands.co.uk/ullapool/nigg-bishops.shtml,0.75,Heritage,Ullapool and Assynt walks
Tain Hill and Pulpit Rock,1,2km,40 minutes,"57.80370,-4.10040",https://www.walkhighlands.co.uk/ullapool/tain-hill.shtml,0.66,Forest,Ullapool and Assynt walks
"Tobar na Slainte, Shandwick",1,3km,1 hour,"57.75100,-3.91810",https://www.walkhighlands.co.uk/ullapool/tobar-na-slainte.shtml,1,Heritage,Ullapool and Assynt walks
"Aldie Burn, near Tain",1,3km,1 hour,"57.78490,-4.09240",https://www.walkhighlands.co.uk/ullapool/aldie-burn.shtml,1,Forest,Ullapool and Assynt walks
"Lochanan nan Tunag, Kildary",1,3.25km,1 hour,"57.74800,-4.07220",https://www.walkhighlands.co.uk/ullapool/kildary.shtml,1,Forest,Ullapool and Assynt walks
Tain links circuit,1,3.5km,1 hour,"57.81240,-4.05540",https://www.walkhighlands.co.uk/ullapool/tain-links.shtml,1,Coastal,Ullapool and Assynt walks
"Black Rock Gorge, Evanton",1,4km,1.5 hours,"57.66320,-4.33650",https://www.walkhighlands.co.uk/ullapool/blackrockgorge.shtml,1.5,River,Ullapool and Assynt walks
"North Sutor, Nigg",1,5.5km,1.5 - 2 hours,"57.69270,-4.02070",https://www.walkhighlands.co.uk/ullapool/nigg.shtml,2,Coastal,Ullapool and Assynt walks
"Kiltearn Church circuit, Evanton",1,5.75km,1.5 hours,"57.66320,-4.33650",https://www.walkhighlands.co.uk/ullapool/kiltearnchurch.shtml,1.5,Heritage,Ullapool and Assynt walks
"Fyrish Monument, near Alness",1,6km,2 - 2.5 hours,"57.71220,-4.30520",https://www.walkhighlands.co.uk/ullapool/fyrish-monument.shtml,2.5,Heritage,Ullapool and Assynt walks
"River Averon, Alness",1,6km,1.5 hours,"57.69680,-4.25750",https://www.walkhighlands.co.uk/ullapool/river-averon.shtml,1.5,River,Ullapool and Assynt walks
Balintore to Rockfield,1,10.25km,2.5 hours,"57.75410,-3.91390",https://www.walkhighlands.co.uk/ullapool/rockfield.shtml,2.5,Coastal,Ullapool and Assynt walks
"Struie Hill, near Edderton",2,6.5km,2 - 2.5 hours,"57.83920,-4.20370",https://www.walkhighlands.co.uk/ullapool/struie-hill.shtml,2.5,Mountain,Ullapool and Assynt walks
"Tarbat Ness circuit, Portmahomack",2,14km,3.5 - 5 hours,"57.83470,-3.82920",https://www.walkhighlands.co.uk/ullapool/tarbat-ness.shtml,5,Coastal,Ullapool and Assynt walks
"Beinn Tharsuinn, near Alness",4,17km,4.5 - 5 hours,"57.76820,-4.25370",https://www.walkhighlands.co.uk/ullapool/beinn-tharsuinn.shtml,5,Mountain,Ullapool and Assynt walks
"Ceannabeinne Township Trail, near Durness",1,1km,45 minutes,"58.55180,-4.68820",https://www.walkhighlands.co.uk/sutherland/ceannabeinne.shtml,0.75,Heritage,Sutherland and Caithness
"Forsinard Flows and Tower, Forsinard",1,1.5km,45 minutes,"58.35700,-3.89750",https://www.walkhighlands.co.uk/sutherland/forsinard.shtml,0.75,Wetland,Sutherland and Caithness
Borgie Forest walk,1,1.75km,40 minutes,"58.49440,-4.29220",https://www.walkhighlands.co.uk/sutherland/borgie-forest.shtml,0.66,Forest,Sutherland and Caithness
Melvich Beach,1,1.75km,45 minutes,"58.55660,-3.91440",https://www.walkhighlands.co.uk/sutherland/melvich-beach.shtml,0.75,Coastal,Sutherland and Caithness
Portskerra pier and jetty,1,2km,45 minutes,"58.56570,-3.92410",https://www.walkhighlands.co.uk/sutherland/portskerra.shtml,0.75,Coastal,Sutherland and Caithness
"Caisteal Bharraich, Tongue",1,2.75km,1 hour,"58.47570,-4.41730",https://www.walkhighlands.co.uk/sutherland/caisteal-bharraich.shtml,1,Heritage,Sutherland and Caithness
Scourie Headland,1,3km,1 hour +,"58.35080,-5.16150",https://www.walkhighlands.co.uk/sutherland/scourie-headland.shtml,1,Coastal,Sutherland and Caithness
Rosal and the Strathnaver Clearances,1,4km,1.5 hours,"58.35320,-4.23950",https://www.walkhighlands.co.uk/sutherland/rosal-strathnaver.shtml,1.5,Heritage,Sutherland and Caithness
"Loch Innes, Kinlochbervie",1,4km,1 hour,"58.45810,-5.03680",https://www.walkhighlands.co.uk/sutherland/kinlochbervie.shtml,1,Coastal,Sutherland and Caithness
"Faraid Head, Durness",1,6.5km,1.5 - 2 hours,"58.57610,-4.76810",https://www.walkhighlands.co.uk/sutherland/faraid-head.shtml,2,Coastal,Sutherland and Caithness
"Handa Island, near Tarbet",1,6.5km,2 - 3.5 hours,"58.37780,-5.17000",https://www.walkhighlands.co.uk/sutherland/handa-island.shtml,3.5,Coastal,Sutherland and Caithness
Smoo Cave and Bhlar Duibhe,1,6.75km,1.5 - 2 hours,"58.56360,-4.72110",https://www.walkhighlands.co.uk/sutherland/smoo-cave.shtml,2,Heritage,Sutherland and Caithness
Strathy Point,1,9km,2 - 2.5 hours,"58.57370,-4.01507",https://www.walkhighlands.co.uk/sutherland/strathy-point.shtml,2.5,Coastal,Sutherland and Caithness
Sandwood Bay,1,13km,4 - 5 hours,"58.49390,-5.09520",https://www.walkhighlands.co.uk/sutherland/sandwood-bay.shtml,5,Coastal,Sutherland and Caithness
"Àrd Mòr , Bettyhill",2,3km,1 - 1.5 hours,"58.53030,-4.22510",https://www.walkhighlands.co.uk/sutherland/bettyhill.shtml,1.5,Coastal,Sutherland and Caithness
Scourie to Tarbet,2,5.5km,1.5 - 2 hours,"58.35180,-5.15190",https://www.walkhighlands.co.uk/sutherland/scourie-tarbet.shtml,2,Coastal,Sutherland and Caithness
"Poulouriscaig, from Armadale",2,6km,2 - 2.5 hours,"58.55320,-4.08770",https://www.walkhighlands.co.uk/sutherland/poulouriscaig.shtml,2.5,Heritage,Sutherland and Caithness
"Forsinain Trail, Strath Halladale",2,6.5km,2 hours,"58.41180,-3.87800",https://www.walkhighlands.co.uk/sutherland/forsinain.shtml,2,River,Sutherland and Caithness
"Torrisdale Bay and Broch, Invernaver",2,8km,2.5 hours,"58.51090,-4.21520",https://www.walkhighlands.co.uk/sutherland/torrisdale-bay.shtml,2.5,Coastal,Sutherland and Caithness
Oldshoremore Bay circuit,2,8km,2 - 4 hours,"58.47740,-5.08280",https://www.walkhighlands.co.uk/sutherland/oldshoremore-bay.shtml,4,Coastal,Sutherland and Caithness
Kyle of Durness circuit,2,8.6km,2.5 - 3.5 hours,"58.57610,-4.76810",https://www.walkhighlands.co.uk/sutherland/kyle-of-durness.shtml,3.5,Coastal,Sutherland and Caithness
Talmine and Achininver Beach circuit,2,10km,3 - 4 hours,"58.53410,-4.42660",https://www.walkhighlands.co.uk/sutherland/talmine.shtml,4,Coastal,Sutherland and Caithness
Ben Hope,3,7.5km,4 - 6 hours,"58.39040,-4.63280",https://www.walkhighlands.co.uk/sutherland/ben-hope.shtml,6,Mountain,Sutherland and Caithness
Ben Stack,3,7.5km,3.5 - 4.5 hours,"58.31750,-4.90980",https://www.walkhighlands.co.uk/sutherland/ben-stack.shtml,4.5,Mountain,Sutherland and Caithness
Cranstackie and Beinn Spionnaidh,4,12km,6 - 8 hours,"58.48920,-4.86230",https://www.walkhighlands.co.uk/sutherland/cranstackie.shtml,8,Mountain,Sutherland and Caithness
"Ben Hee, from West Merkland",4,13.25km,5 - 6 hours,"58.25710,-4.77333",https://www.walkhighlands.co.uk/sutherland/ben-hee.shtml,6,Mountain,Sutherland and Caithness
Ben Loyal,4,13.75km,5.5 - 6.5 hours,"58.45750,-4.42810",https://www.walkhighlands.co.uk/sutherland/ben-loyal.shtml,6.5,Mountain,Sutherland and Caithness
Ben Klibreck,4,14.25km,5 - 7 hours,"58.20850,-4.49930",https://www.walkhighlands.co.uk/sutherland/ben-klibreck.shtml,7,Mountain,Sutherland and Caithness
Beinn Leoid and Meallan a' Chuail from the A838,4,15.5km,6 - 7 hours,"58.25780,-4.79970",https://www.walkhighlands.co.uk/sutherland/beinn-leoid.shtml,7,Mountain,Sutherland and Caithness
Meallan Liath Coire Mhic Dhughaill,4,16km,6 - 6.5 hours,"58.26640,-4.81780",https://www.walkhighlands.co.uk/sutherland/meallan-liath-coire-mhic-dhughaill.shtml,6.5,Mountain,Sutherland and Caithness
Arkle,4,17.5km,6 - 7 hours,"58.31750,-4.90980",https://www.walkhighlands.co.uk/sutherland/arkle.shtml,7,Mountain,Sutherland and Caithness
Meall Horn,4,18km,6 - 7 hours,"58.31750,-4.90980",https://www.walkhighlands.co.uk/sutherland/meall-horn.shtml,7,Mountain,Sutherland and Caithness
Foinaven circuit,4,18.5km,8 - 9 hours,"58.46580,-4.90220",https://www.walkhighlands.co.uk/sutherland/foinaven.shtml,9,Mountain,Sutherland and Caithness
"Ousdale Broch, near Berriedale",1,2km,45 minutes,"58.14950,-3.59260",https://www.walkhighlands.co.uk/sutherland/ousdale-broch.shtml,0.75,Heritage,Sutherland and Caithness
Badbea - Clearance Village,1,2km,1 hour,"58.16370,-3.55690",https://www.walkhighlands.co.uk/sutherland/badbea.shtml,1,Heritage,Sutherland and Caithness
St John's Point,1,2.75km,1 hour,"58.65250,-3.18850",https://www.walkhighlands.co.uk/sutherland/st-johns-point.shtml,1,Coastal,Sutherland and Caithness
Whaligoe Steps and the Cairn of Get,1,3km,1 - 1.5 hours,"58.35080,-3.16550",https://www.walkhighlands.co.uk/sutherland/whaligoe-steps.shtml,1.5,Heritage,Sutherland and Caithness
"Flagstone Trail & the Battery, Castletown",1,3.75km,1.5 - 2 hours,"58.59750,-3.38640",https://www.walkhighlands.co.uk/sutherland/castletown.shtml,2,Coastal,Sutherland and Caithness
Dunnet Forest,1,4km,1 - 1. 5 hours,"58.60950,-3.34310",https://www.walkhighlands.co.uk/sutherland/dunnet-forest.shtml,1.5,Forest,Sutherland and Caithness
Dunnet Bay,1,5km,1.5 - 2 hours,"58.61560,-3.34570",https://www.walkhighlands.co.uk/sutherland/dunnet-bay.shtml,2,Coastal,Sutherland and Caithness
Wick River,1,6km,1.5 hours,"58.44290,-3.09480",https://www.walkhighlands.co.uk/sutherland/wick-river.shtml,1.5,River,Sutherland and Caithness
Wick Old Castle circuit,1,7.5km,2 hours,"58.44290,-3.09480",https://www.walkhighlands.co.uk/sutherland/wick-castle.shtml,2,Heritage,Sutherland and Caithness
"Thurso and Scrabster, Thurso",1,8km,2 hours,"58.59470,-3.51590",https://www.walkhighlands.co.uk/sutherland/thurso-scrabster.shtml,2,Coastal,Sutherland and Caithness
Yarrows Archaeology Trail,2,3.5km,1.5 - 2 hours,"58.37510,-3.18840",https://www.walkhighlands.co.uk/sutherland/yarrows.shtml,2,Heritage,Sutherland and Caithness
"Keiss Castle and Nybster Broch, Nybster",2,5.5km,2.5 - 3 hours,"58.55520,-3.08390",https://www.walkhighlands.co.uk/sutherland/keiss-castle.shtml,3,Heritage,Sutherland and Caithness
"Thurso Bay and Castle, Thurso",2,7km,2 hours,"58.59470,-3.51590",https://www.walkhighlands.co.uk/sutherland/thurso-bay.shtml,2,Coastal,Sutherland and Caithness
"Holborn Head, Scrabster",2,7.5km,2 hours,"58.61160,-3.55110",https://www.walkhighlands.co.uk/sutherland/holborn-head.shtml,2,Coastal,Sutherland and Caithness
Freswick to Dunscansby Head,2,8.25km,2.5 hours,"58.59400,-3.08640",https://www.walkhighlands.co.uk/sutherland/freswick.shtml,2.5,Coastal,Sutherland and Caithness
Duncansby Head and John o'Groats,2,8.5km,2.5 - 3 hours,"58.64340,-3.06870",https://www.walkhighlands.co.uk/sutherland/duncansby-head.shtml,3,Coastal,Sutherland and Caithness
Castle Sinclair Girnigoe and Noss Head,2,9km,2.5 - 3.5 hours,"58.45670,-3.05660",https://www.walkhighlands.co.uk/sutherland/castle-sinclair-girnigoe.shtml,3.5,Heritage,Sutherland and Caithness
Dunbeath Strath,2,10.5km,2.5 - 3.5 hours,"58.24990,-3.43320",https://www.walkhighlands.co.uk/sutherland/dunbeath-strath.shtml,3.5,Heritage,Sutherland and Caithness
Dunnet Head,3,17km,5.5 - 6.5 hours,"58.62250,-3.36710",https://www.walkhighlands.co.uk/sutherland/dunnet-head.shtml,6.5,Coastal,Sutherland and Caithness
Morven and Maiden Pap,4,16.75km,7 - 8 hours,"58.25300,-3.58090",https://www.walkhighlands.co.uk/sutherland/morven.shtml,8,Mountain,Sutherland and Caithness
"Raven's Rock Gorge, near Rosehall",1,1.5km,35 minutes,"57.97150,-4.54160",https://www.walkhighlands.co.uk/sutherland/ravens-rock-gorge.shtml,0.5,Forest,Sutherland and Caithness
"Gunns Wood, Lairg",1,2.25km,40 minutes,"58.02300,-4.39010",https://www.walkhighlands.co.uk/sutherland/gunns-wood.shtml,0.66,Forest,Sutherland and Caithness
"Skelbo Forest, near Dornoch",1,2.7km,1 hour,"57.92010,-4.06170",https://www.walkhighlands.co.uk/sutherland/skelbo.shtml,1,Forest,Sutherland and Caithness
"Big Burn, Golspie",1,3km,1 hour,"57.97920,-3.96270",https://www.walkhighlands.co.uk/sutherland/big-burn.shtml,1,River,Sutherland and Caithness
Falls of Shin,1,3.25km,1 hour,"57.96020,-4.40790",https://www.walkhighlands.co.uk/sutherland/falls-of-shin.shtml,1,River,Sutherland and Caithness
Cassley Falls and Rosehall Forest,1,4km,1 - 2 hours,"57.98040,-4.57310",https://www.walkhighlands.co.uk/sutherland/achness-falls.shtml,2,River,Sutherland and Caithness
"Ferry Wood and the Ord, Lairg",1,5km,1.5 - 2 hours,"58.02180,-4.40660",https://www.walkhighlands.co.uk/sutherland/lairg.shtml,2,River,Sutherland and Caithness
Carbisdale Castle circuit,1,6.25km,1.5 - 2.5 hours,"57.92500,-4.40100",https://www.walkhighlands.co.uk/sutherland/carbisdale-castle.shtml,2.5,Heritage,Sutherland and Caithness
Littleferry and Loch Fleet,1,7km,1.5 - 2 hours,"57.93530,-4.01647",https://www.walkhighlands.co.uk/sutherland/littleferry.shtml,2,Coastal,Sutherland and Caithness
Dornoch Point,1,7.25km,2 - 2.5 hours,"57.87980,-4.02790",https://www.walkhighlands.co.uk/sutherland/dornoch-point.shtml,2.5,Coastal,Sutherland and Caithness
Loch Migdale,1,7.5km,2 hours ,"57.88610,-4.24770",https://www.walkhighlands.co.uk/sutherland/loch-migdale.shtml,2,Forest,Sutherland and Caithness
Loch Fleet and Balblair Wood,1,7.5km,2 hours,"57.95250,-4.00420",https://www.walkhighlands.co.uk/sutherland/loch-fleet.shtml,2,Wetland,Sutherland and Caithness
"Balblair Forest, near Bonar Bridge",1,8km,1.5 - 2.5 hours,"57.90350,-4.35710",https://www.walkhighlands.co.uk/sutherland/balblair.shtml,2.5,Forest,Sutherland and Caithness
